2026-07-03T19:46:38+08:00 localhost rasdaemon[1046]: Can't get traces from ras:extlog_mem_event
2026-07-03T19:46:47+08:00 win000k10424 lightdm[2576]: [kysdk-conf2] invalied schema id
2026-07-03T19:46:47+08:00 win000k10424 lightdm[2576]: [kysdk-conf2] invalied schema id
2026-07-03T19:46:48+08:00 win000k10424 ukui-login-sound[2610]: control hw:0 open error: No such file or directory
2026-07-03T19:46:48+08:00 win000k10424 ukui-login-sound[2610]: file convert error, err:32512.
2026-07-03T19:46:49+08:00 win000k10424 systemd[2634]: Failed to start Portal service (GTK/GNOME implementation).
2026-07-05T03:46:21+08:00 win000k10424 python3[372224]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-05T05:38:48+08:00 win000k10424 python3[393585]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-05T06:52:51+08:00 win000k10424 python3[407650]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-05T08:06:01+08:00 win000k10424 python3[421542]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-05T09:16:36+08:00 win000k10424 python3[434949]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-05T10:46:11+08:00 win000k10424 python3[451953]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-05T12:45:11+08:00 win000k10424 python3[474484]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-05T13:45:41+08:00 win000k10424 python3[486499]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-05T15:22:01+08:00 win000k10424 python3[504773]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-05T16:48:41+08:00 win000k10424 python3[521204]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-05T18:44:17+08:00 win000k10424 python3[543124]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-05T20:06:58+08:00 win000k10424 python3[558842]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-05T21:40:41+08:00 win000k10424 python3[576623]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-05T22:46:11+08:00 win000k10424 python3[589061]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-06T00:42:11+08:00 win000k10424 python3[611086]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-06T02:30:31+08:00 win000k10424 python3[631649]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-06T04:08:51+08:00 win000k10424 python3[650331]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-06T05:39:11+08:00 win000k10424 python3[667493]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-06T07:18:11+08:00 win000k10424 python3[686304]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-06T08:57:11+08:00 win000k10424 python3[705057]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-06T10:34:38+08:00 win000k10424 python3[723574]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
